Sentence,Label,Supar_CDS,Stanza_off_the_shelf,Gold_annotation
Dipsy tummy .,verb,"1	Dipsy	_	_	_	_	2	nmod:poss	_	_
2	tummy	_	_	_	_	0	root	_	_
3	.	_	_	_	_	2	punct	_	_","1	Dipsy	_	PROPN	NNP	_	2	compound	_	_
2	tummy	_	NOUN	NN	_	0	root	_	_
3	.	_	PUNCT	.	_	2	punct	_	_",
Purdie like strawberries .,sv_agreement,"1	Purdie	_	_	_	_	2	nsubj	_	_
2	like	_	_	_	_	0	root	_	_
3	strawberries	_	_	_	_	2	obj	_	_
4	.	_	_	_	_	1	punct	_	_","1	Purdie	_	PROPN	NNP	_	0	root	_	_
2	like	_	ADP	IN	_	3	case	_	_
3	strawberries	_	NOUN	NNS	_	1	nmod	_	_
4	.	_	PUNCT	.	_	1	punct	_	_",
put the cushion down floor .,"preposition, determiner","1	put	_	_	_	_	0	root	_	_
2	the	_	_	_	_	3	det	_	_
3	cushion	_	_	_	_	1	obj	_	_
4	down	_	_	_	_	5	case	_	_
5	floor	_	_	_	_	1	obl	_	_
6	.	_	_	_	_	1	punct	_	_","1	put	_	VERB	VB	_	0	root	_	_
2	the	_	DET	DT	_	5	det	_	_
3	cushion	_	NOUN	NN	_	5	compound	_	_
4	down	_	ADP	RP	_	1	compound:prt	_	_
5	floor	_	NOUN	NN	_	1	obj	_	_
6	.	_	PUNCT	.	_	1	punct	_	_",
oh like a kiss .,"subject, verb","1	oh	_	_	_	_	4	discourse	_	_
2	like	_	_	_	_	4	case	_	_
3	a	_	_	_	_	4	det	_	_
4	kiss	_	_	_	_	0	root	_	_
5	.	_	_	_	_	4	punct	_	_","1	oh	_	INTJ	UH	_	4	discourse	_	_
2	like	_	INTJ	UH	_	4	discourse	_	_
3	a	_	DET	DT	_	4	det	_	_
4	kiss	_	NOUN	NN	_	0	root	_	_
5	.	_	PUNCT	.	_	4	punct	_	_",
I no like doggypoos .,auxiliary,"1	I	_	_	_	_	3	nsubj	_	_
2	no	_	_	_	_	3	advmod	_	_
3	like	_	_	_	_	0	root	_	_
4	doggypoos	_	_	_	_	3	obj	_	_
5	.	_	_	_	_	3	punct	_	_","1	I	_	PRON	PRP	_	4	nsubj	_	_
2	no	_	INTJ	UH	_	4	discourse	_	_
3	like	_	INTJ	UH	_	4	discourse	_	_
4	doggypoos	_	NOUN	NNS	_	0	root	_	_
5	.	_	PUNCT	.	_	4	punct	_	_",
getting on fine .,"subject, verb","1	getting	_	_	_	_	0	root	_	_
2	on	_	_	_	_	1	compound:prt	_	_
3	fine	_	_	_	_	1	advmod	_	_
4	.	_	_	_	_	1	punct	_	_","1	getting	_	VERB	VBG	_	0	root	_	_
2	on	_	ADP	IN	_	1	compound:prt	_	_
3	fine	_	ADJ	JJ	_	1	obl	_	_
4	.	_	PUNCT	.	_	1	punct	_	_",
what has happened the fridge ?,preposition,"1	what	_	_	_	_	3	nsubj	_	_
2	has	_	_	_	_	3	aux	_	_
3	happened	_	_	_	_	0	root	_	_
4	the	_	_	_	_	5	det	_	_
5	fridge	_	_	_	_	3	parataxis	_	_
6	?	_	_	_	_	3	punct	_	_","1	what	_	PRON	WP	_	3	nsubj	_	_
2	has	_	AUX	VBZ	_	3	aux	_	_
3	happened	_	VERB	VBN	_	0	root	_	_
4	the	_	DET	DT	_	5	det	_	_
5	fridge	_	NOUN	NN	_	3	obj	_	_
6	?	_	PUNCT	.	_	3	punct	_	_",
what's happening the freezer ?,preposition,"1	what's	_	_	_	_	2	aux	_	_
2	happening	_	_	_	_	0	root	_	_
3	the	_	_	_	_	4	det	_	_
4	freezer	_	_	_	_	2	parataxis	_	_
5	?	_	_	_	_	2	punct	_	_","1	what	_	PRON	WP	_	3	nsubj	_	_
2	's	_	AUX	VBZ	_	3	aux	_	_
3	happening	_	VERB	VBG	_	0	root	_	_
4	the	_	DET	DT	_	5	det	_	_
5	freezer	_	NOUN	NN	_	3	obj	_	_
6	?	_	PUNCT	.	_	3	punct	_	_",
I'm not open anything .,present_progressive,"1	I'm	_	_	_	_	3	aux	_	_
2	not	_	_	_	_	3	advmod	_	_
3	open	_	_	_	_	0	root	_	_
4	anything	_	_	_	_	3	obj	_	_
5	.	_	_	_	_	3	punct	_	_","1	I	_	PRON	PRP	_	4	nsubj	_	_
2	'm	_	AUX	VBP	_	4	aux	_	_
3	not	_	PART	RB	_	4	advmod	_	_
4	open	_	VERB	VB	_	0	root	_	_
5	anything	_	PRON	NN	_	4	obj	_	_
6	.	_	PUNCT	.	_	4	punct	_	_",
want smell strawberries .,"subject, tense_aspect","1	want	_	_	_	_	0	root	_	_
2	smell	_	_	_	_	1	xcomp	_	_
3	strawberries	_	_	_	_	2	obj	_	_
4	.	_	_	_	_	1	punct	_	_","1	want	_	VERB	VB	_	0	root	_	_
2	smell	_	NOUN	NN	_	3	compound	_	_
3	strawberries	_	NOUN	NNS	_	1	obj	_	_
4	.	_	PUNCT	.	_	1	punct	_	_",
um Teletubbies not say bye bye .,auxiliary,"1	um	_	_	_	_	4	discourse	_	_
2	Teletubbies	_	_	_	_	4	nsubj	_	_
3	not	_	_	_	_	4	advmod	_	_
4	say	_	_	_	_	0	root	_	_
5	bye	_	_	_	_	4	obj	_	_
6	bye	_	_	_	_	5	compound	_	_
7	.	_	_	_	_	4	punct	_	_","1	um	_	INTJ	UH	_	4	discourse	_	_
2	Teletubbies	_	PROPN	NNPS	_	4	nsubj	_	_
3	not	_	PART	RB	_	4	advmod	_	_
4	say	_	VERB	VB	_	0	root	_	_
5	bye	_	INTJ	UH	_	6	discourse	_	_
6	bye	_	NOUN	NN	_	4	obj	_	_
7	.	_	PUNCT	.	_	4	punct	_	_",
Daddy is this a antique cup ?,determiner,"1	Daddy	_	_	_	_	6	vocative	_	_
2	is	_	_	_	_	6	cop	_	_
3	this	_	_	_	_	6	nsubj	_	_
4	a	_	_	_	_	6	det	_	_
5	antique	_	_	_	_	6	amod	_	_
6	cup	_	_	_	_	0	root	_	_
7	?	_	_	_	_	6	punct	_	_","1	Daddy	_	PROPN	NNP	_	6	nsubj	_	_
2	is	_	AUX	VBZ	_	6	cop	_	_
3	this	_	PRON	DT	_	6	nsubj	_	_
4	a	_	DET	DT	_	6	det	_	_
5	antique	_	ADJ	JJ	_	6	amod	_	_
6	cup	_	NOUN	NN	_	0	root	_	_
7	?	_	PUNCT	.	_	6	punct	_	_",
antique this ?,"verb, determiner, other","1	antique	_	_	_	_	0	root	_	_
2	this	_	_	_	_	1	nsubj	_	_
3	?	_	_	_	_	1	punct	_	_","1	antique	_	VERB	VB	_	0	root	_	_
2	this	_	PRON	DT	_	1	obj	_	_
3	?	_	PUNCT	.	_	1	punct	_	_",
mine me is my thing .,subject,"1	mine	_	_	_	_	2	reparandum	_	_
2	me	_	_	_	_	5	nsubj	_	_
3	is	_	_	_	_	5	cop	_	_
4	my	_	_	_	_	5	nmod:poss	_	_
5	thing	_	_	_	_	0	root	_	_
6	.	_	_	_	_	5	punct	_	_","1	mine	_	PRON	PRP	_	5	nsubj	_	_
2	me	_	PRON	PRP	_	5	nsubj	_	_
3	is	_	AUX	VBZ	_	5	cop	_	_
4	my	_	PRON	PRP$	_	5	nmod:poss	_	_
5	thing	_	NOUN	NN	_	0	root	_	_
6	.	_	PUNCT	.	_	5	punct	_	_",
white white truck .,determiner,"1	white	_	_	_	_	2	reparandum	_	_
2	white	_	_	_	_	3	amod	_	_
3	truck	_	_	_	_	0	root	_	_
4	.	_	_	_	_	3	punct	_	_","1	white	_	ADJ	JJ	_	3	amod	_	_
2	white	_	ADJ	JJ	_	3	amod	_	_
3	truck	_	NOUN	NN	_	0	root	_	_
4	.	_	PUNCT	.	_	3	punct	_	_",
Nin Nin chair .,possessive,"1	Nin	_	_	_	_	2	reparandum	_	_
2	Nin	_	_	_	_	3	nummod	_	_
3	chair	_	_	_	_	0	root	_	_
4	.	_	_	_	_	3	punct	_	_","1	Nin	_	PROPN	NNP	_	0	root	_	_
2	Nin	_	PROPN	NNP	_	1	flat	_	_
3	chair	_	NOUN	NN	_	1	flat	_	_
4	.	_	PUNCT	.	_	1	punct	_	_",
Nin Nin chair .,possessive,"1	Nin	_	_	_	_	2	reparandum	_	_
2	Nin	_	_	_	_	3	nummod	_	_
3	chair	_	_	_	_	0	root	_	_
4	.	_	_	_	_	3	punct	_	_","1	Nin	_	PROPN	NNP	_	0	root	_	_
2	Nin	_	PROPN	NNP	_	1	flat	_	_
3	chair	_	NOUN	NN	_	1	flat	_	_
4	.	_	PUNCT	.	_	1	punct	_	_",
Nin Nin chair .,possessive,"1	Nin	_	_	_	_	2	reparandum	_	_
2	Nin	_	_	_	_	3	nummod	_	_
3	chair	_	_	_	_	0	root	_	_
4	.	_	_	_	_	3	punct	_	_","1	Nin	_	PROPN	NNP	_	0	root	_	_
2	Nin	_	PROPN	NNP	_	1	flat	_	_
3	chair	_	NOUN	NN	_	1	flat	_	_
4	.	_	PUNCT	.	_	1	punct	_	_",
Nin Nin chair .,possessive,"1	Nin	_	_	_	_	2	reparandum	_	_
2	Nin	_	_	_	_	3	nummod	_	_
3	chair	_	_	_	_	0	root	_	_
4	.	_	_	_	_	3	punct	_	_","1	Nin	_	PROPN	NNP	_	0	root	_	_
2	Nin	_	PROPN	NNP	_	1	flat	_	_
3	chair	_	NOUN	NN	_	1	flat	_	_
4	.	_	PUNCT	.	_	1	punct	_	_",
Nin Nin chair .,possessive,"1	Nin	_	_	_	_	2	reparandum	_	_
2	Nin	_	_	_	_	3	nummod	_	_
3	chair	_	_	_	_	0	root	_	_
4	.	_	_	_	_	3	punct	_	_","1	Nin	_	PROPN	NNP	_	0	root	_	_
2	Nin	_	PROPN	NNP	_	1	flat	_	_
3	chair	_	NOUN	NN	_	1	flat	_	_
4	.	_	PUNCT	.	_	1	punct	_	_",
Nin Nin chair .,possessive,"1	Nin	_	_	_	_	2	reparandum	_	_
2	Nin	_	_	_	_	3	nummod	_	_
3	chair	_	_	_	_	0	root	_	_
4	.	_	_	_	_	3	punct	_	_","1	Nin	_	PROPN	NNP	_	0	root	_	_
2	Nin	_	PROPN	NNP	_	1	flat	_	_
3	chair	_	NOUN	NN	_	1	flat	_	_
4	.	_	PUNCT	.	_	1	punct	_	_",
scissors all done .,verb,"1	scissors	_	_	_	_	3	nsubj	_	_
2	all	_	_	_	_	3	advmod	_	_
3	done	_	_	_	_	0	root	_	_
4	.	_	_	_	_	3	punct	_	_","1	scissors	_	NOUN	NNS	_	3	nsubj	_	_
2	all	_	DET	DT	_	1	det	_	_
3	done	_	VERB	VBN	_	0	root	_	_
4	.	_	PUNCT	.	_	3	punct	_	_",
Nin Nin chair .,possessive,"1	Nin	_	_	_	_	2	reparandum	_	_
2	Nin	_	_	_	_	3	nummod	_	_
3	chair	_	_	_	_	0	root	_	_
4	.	_	_	_	_	3	punct	_	_","1	Nin	_	PROPN	NNP	_	0	root	_	_
2	Nin	_	PROPN	NNP	_	1	flat	_	_
3	chair	_	NOUN	NN	_	1	flat	_	_
4	.	_	PUNCT	.	_	1	punct	_	_",
Nin Nin chair .,possessive,"1	Nin	_	_	_	_	2	reparandum	_	_
2	Nin	_	_	_	_	3	nummod	_	_
3	chair	_	_	_	_	0	root	_	_
4	.	_	_	_	_	3	punct	_	_","1	Nin	_	PROPN	NNP	_	0	root	_	_
2	Nin	_	PROPN	NNP	_	1	flat	_	_
3	chair	_	NOUN	NN	_	1	flat	_	_
4	.	_	PUNCT	.	_	1	punct	_	_",
sit Nin Nin's knee now .,"subject, tense_aspect","1	sit	_	_	_	_	0	root	_	_
2	Nin	_	_	_	_	4	nmod:poss	_	_
3	Nin's	_	_	_	_	4	nmod:poss	_	_
4	knee	_	_	_	_	1	obl	_	_
5	now	_	_	_	_	1	advmod	_	_
6	.	_	_	_	_	1	punct	_	_","1	sit	_	VERB	VB	_	0	root	_	_
2	Nin	_	PROPN	NNP	_	5	nmod:poss	_	_
3	Nin	_	PROPN	NNP	_	2	flat	_	_
4	's	_	PART	POS	_	2	case	_	_
5	knee	_	NOUN	NN	_	1	obj	_	_
6	now	_	ADV	RB	_	1	advmod	_	_
7	.	_	PUNCT	.	_	1	punct	_	_",
in case one used up .,verb,"1	in	_	_	_	_	4	mark	_	_
2	case	_	_	_	_	4	mark	_	_
3	one	_	_	_	_	4	nsubj	_	_
4	used	_	_	_	_	0	root	_	_
5	up	_	_	_	_	4	compound:prt	_	_
6	.	_	_	_	_	4	punct	_	_","1	in	_	ADP	IN	_	4	advmod	_	_
2	case	_	NOUN	NN	_	1	fixed	_	_
3	one	_	NUM	CD	_	4	nsubj	_	_
4	used	_	VERB	VBD	_	0	root	_	_
5	up	_	ADP	RP	_	4	compound:prt	_	_
6	.	_	PUNCT	.	_	4	punct	_	_",
in case another one used up we got another one .,verb,"1	in	_	_	_	_	5	mark	_	_
2	case	_	_	_	_	5	mark	_	_
3	another	_	_	_	_	4	det	_	_
4	one	_	_	_	_	5	nsubj	_	_
5	used	_	_	_	_	8	advcl	_	_
6	up	_	_	_	_	5	compound:prt	_	_
7	we	_	_	_	_	8	nsubj	_	_
8	got	_	_	_	_	0	root	_	_
9	another	_	_	_	_	10	det	_	_
10	one	_	_	_	_	8	obj	_	_
11	.	_	_	_	_	8	punct	_	_","1	in	_	ADP	IN	_	5	mark	_	_
2	case	_	NOUN	NN	_	1	fixed	_	_
3	another	_	DET	DT	_	4	det	_	_
4	one	_	NOUN	NN	_	5	nsubj	_	_
5	used	_	VERB	VBD	_	8	advcl	_	_
6	up	_	ADP	RP	_	5	compound:prt	_	_
7	we	_	PRON	PRP	_	8	nsubj	_	_
8	got	_	VERB	VBD	_	0	root	_	_
9	another	_	DET	DT	_	10	det	_	_
10	one	_	NOUN	NN	_	8	obj	_	_
11	.	_	PUNCT	.	_	8	punct	_	_",
I smell waiting toast and food .,other,"1	I	_	_	_	_	2	nsubj	_	_
2	smell	_	_	_	_	0	root	_	_
3	waiting	_	_	_	_	4	amod	_	_
4	toast	_	_	_	_	2	obj	_	_
5	and	_	_	_	_	6	cc	_	_
6	food	_	_	_	_	4	conj	_	_
7	.	_	_	_	_	2	punct	_	_","1	I	_	PRON	PRP	_	2	nsubj	_	_
2	smell	_	VERB	VBP	_	0	root	_	_
3	waiting	_	VERB	VBG	_	2	xcomp	_	_
4	toast	_	NOUN	NN	_	3	obj	_	_
5	and	_	CCONJ	CC	_	6	cc	_	_
6	food	_	NOUN	NN	_	4	conj	_	_
7	.	_	PUNCT	.	_	2	punct	_	_",
I got new milk for us when when when that milk used up .,verb,"1	I	_	_	_	_	2	nsubj	_	_
2	got	_	_	_	_	0	root	_	_
3	new	_	_	_	_	4	amod	_	_
4	milk	_	_	_	_	2	obj	_	_
5	for	_	_	_	_	6	case	_	_
6	us	_	_	_	_	2	obl	_	_
7	when	_	_	_	_	9	reparandum	_	_
8	when	_	_	_	_	9	reparandum	_	_
9	when	_	_	_	_	12	mark	_	_
10	that	_	_	_	_	11	det	_	_
11	milk	_	_	_	_	12	nsubj	_	_
12	used	_	_	_	_	2	advcl	_	_
13	up	_	_	_	_	12	compound:prt	_	_
14	.	_	_	_	_	2	punct	_	_","1	I	_	PRON	PRP	_	2	nsubj	_	_
2	got	_	VERB	VBD	_	0	root	_	_
3	new	_	ADJ	JJ	_	4	amod	_	_
4	milk	_	NOUN	NN	_	2	obj	_	_
5	for	_	ADP	IN	_	6	case	_	_
6	us	_	PRON	PRP	_	2	obl	_	_
7	when	_	ADV	WRB	_	12	advmod	_	_
8	when	_	ADV	WRB	_	12	advmod	_	_
9	when	_	ADV	WRB	_	12	advmod	_	_
10	that	_	DET	DT	_	11	det	_	_
11	milk	_	NOUN	NN	_	12	nsubj	_	_
12	used	_	VERB	VBD	_	2	advcl	_	_
13	up	_	ADP	RP	_	12	compound:prt	_	_
14	.	_	PUNCT	.	_	2	punct	_	_",
"where's my one baby , Mama ?",other,"1	where's	_	_	_	_	0	root	_	_
2	my	_	_	_	_	4	nmod:poss	_	_
3	one	_	_	_	_	4	nummod	_	_
4	baby	_	_	_	_	1	nsubj	_	_
5	,	_	_	_	_	1	punct	_	_
6	Mama	_	_	_	_	1	vocative	_	_
7	?	_	_	_	_	1	punct	_	_","1	where	_	ADV	WRB	_	0	root	_	_
2	's	_	AUX	VBZ	_	1	cop	_	_
3	my	_	PRON	PRP$	_	5	nmod:poss	_	_
4	one	_	NUM	CD	_	5	nummod	_	_
5	baby	_	NOUN	NN	_	1	nsubj	_	_
6	,	_	PUNCT	,	_	7	punct	_	_
7	Mama	_	NOUN	NN	_	5	vocative	_	_
8	?	_	PUNCT	.	_	1	punct	_	_",
um Daddy telephone .,possessive,"1	um	_	_	_	_	3	discourse	_	_
2	Daddy	_	_	_	_	3	nmod:poss	_	_
3	telephone	_	_	_	_	0	root	_	_
4	.	_	_	_	_	3	punct	_	_","1	um	_	INTJ	UH	_	3	discourse	_	_
2	Daddy	_	PROPN	NNP	_	3	compound	_	_
3	telephone	_	NOUN	NN	_	0	root	_	_
4	.	_	PUNCT	.	_	3	punct	_	_",
Mummy up .,verb,"1	Mummy	_	_	_	_	2	nsubj	_	_
2	up	_	_	_	_	0	root	_	_
3	.	_	_	_	_	2	punct	_	_","1	Mummy	_	NOUN	NN	_	0	root	_	_
2	up	_	ADP	RP	_	1	advmod	_	_
3	.	_	PUNCT	.	_	1	punct	_	_",
crane crane .,determiner,"1	crane	_	_	_	_	0	root	_	_
2	crane	_	_	_	_	1	conj	_	_
3	.	_	_	_	_	1	punct	_	_","1	crane	_	NOUN	NN	_	2	compound	_	_
2	crane	_	NOUN	NN	_	0	root	_	_
3	.	_	PUNCT	.	_	2	punct	_	_",
"blue car , blue one .",determiner,"1	blue	_	_	_	_	2	amod	_	_
2	car	_	_	_	_	0	root	_	_
3	,	_	_	_	_	5	cc	_	_
4	blue	_	_	_	_	5	amod	_	_
5	one	_	_	_	_	2	conj	_	_
6	.	_	_	_	_	2	punct	_	_","1	blue	_	ADJ	JJ	_	2	amod	_	_
2	car	_	NOUN	NN	_	0	root	_	_
3	,	_	PUNCT	,	_	5	punct	_	_
4	blue	_	ADJ	JJ	_	5	amod	_	_
5	one	_	NOUN	NN	_	2	conj	_	_
6	.	_	PUNCT	.	_	2	punct	_	_",
that's too !,object,"1	that's	_	_	_	_	0	root	_	_
2	too	_	_	_	_	1	advmod	_	_
3	!	_	_	_	_	1	punct	_	_","1	that	_	PRON	DT	_	2	nsubj	_	_
2	's	_	AUX	VBZ	_	3	cop	_	_
3	too	_	ADV	RB	_	0	root	_	_
4	!	_	PUNCT	.	_	3	punct	_	_",
I lying on .,"auxiliary, object","1	I	_	_	_	_	2	nsubj	_	_
2	lying	_	_	_	_	0	root	_	_
3	on	_	_	_	_	2	obl	_	_
4	.	_	_	_	_	2	punct	_	_","1	I	_	PRON	PRP	_	2	nsubj	_	_
2	lying	_	VERB	VBG	_	0	root	_	_
3	on	_	ADP	RP	_	2	compound:prt	_	_
4	.	_	PUNCT	.	_	2	punct	_	_",
got got two engines .,subject,"1	got	_	_	_	_	2	reparandum	_	_
2	got	_	_	_	_	0	root	_	_
3	two	_	_	_	_	4	nummod	_	_
4	engines	_	_	_	_	2	obj	_	_
5	.	_	_	_	_	2	punct	_	_","1	got	_	AUX	VBD	_	2	aux	_	_
2	got	_	VERB	VBN	_	0	root	_	_
3	two	_	NUM	CD	_	4	nummod	_	_
4	engines	_	NOUN	NNS	_	2	obj	_	_
5	.	_	PUNCT	.	_	2	punct	_	_",
fat controller waking up two two ears .,"determiner, auxiliary, other","1	fat	_	_	_	_	2	amod	_	_
2	controller	_	_	_	_	3	nsubj	_	_
3	waking	_	_	_	_	0	root	_	_
4	up	_	_	_	_	3	compound:prt	_	_
5	two	_	_	_	_	6	reparandum	_	_
6	two	_	_	_	_	7	nummod	_	_
7	ears	_	_	_	_	3	obj	_	_
8	.	_	_	_	_	3	punct	_	_","1	fat	_	ADJ	JJ	_	2	amod	_	_
2	controller	_	NOUN	NN	_	0	root	_	_
3	waking	_	VERB	VBG	_	2	acl	_	_
4	up	_	ADP	RP	_	3	compound:prt	_	_
5	two	_	NUM	CD	_	7	nummod	_	_
6	two	_	NUM	CD	_	7	nummod	_	_
7	ears	_	NOUN	NNS	_	3	obj	_	_
8	.	_	PUNCT	.	_	2	punct	_	_",
fire the fire engine the big football .,verb,"1	fire	_	_	_	_	0	root	_	_
2	the	_	_	_	_	4	det	_	_
3	fire	_	_	_	_	4	compound	_	_
4	engine	_	_	_	_	1	obj	_	_
5	the	_	_	_	_	7	det	_	_
6	big	_	_	_	_	7	amod	_	_
7	football	_	_	_	_	1	parataxis	_	_
8	.	_	_	_	_	1	punct	_	_","1	fire	_	VERB	VB	_	0	root	_	_
2	the	_	DET	DT	_	4	det	_	_
3	fire	_	NOUN	NN	_	4	compound	_	_
4	engine	_	NOUN	NN	_	1	obj	_	_
5	the	_	DET	DT	_	7	det	_	_
6	big	_	ADJ	JJ	_	7	amod	_	_
7	football	_	NOUN	NN	_	1	obj	_	_
8	.	_	PUNCT	.	_	1	punct	_	_",
firemen fire .,determiner,"1	firemen	_	_	_	_	0	root	_	_
2	fire	_	_	_	_	1	conj	_	_
3	.	_	_	_	_	1	punct	_	_","1	firemen	_	NOUN	NNS	_	2	compound	_	_
2	fire	_	NOUN	NN	_	0	root	_	_
3	.	_	PUNCT	.	_	2	punct	_	_",
uh Gordon get a fright .,tense_aspect,"1	uh	_	_	_	_	3	discourse	_	_
2	Gordon	_	_	_	_	3	vocative	_	_
3	get	_	_	_	_	0	root	_	_
4	a	_	_	_	_	5	det	_	_
5	fright	_	_	_	_	3	obj	_	_
6	.	_	_	_	_	3	punct	_	_","1	uh	_	INTJ	UH	_	3	discourse	_	_
2	Gordon	_	PROPN	NNP	_	3	nsubj	_	_
3	get	_	VERB	VBP	_	0	root	_	_
4	a	_	DET	DT	_	5	det	_	_
5	fright	_	NOUN	NN	_	3	obj	_	_
6	.	_	PUNCT	.	_	3	punct	_	_",
Gordon get frightened .,tense_aspect,"1	Gordon	_	_	_	_	2	nsubj	_	_
2	get	_	_	_	_	0	root	_	_
3	frightened	_	_	_	_	2	xcomp	_	_
4	.	_	_	_	_	2	punct	_	_","1	Gordon	_	PROPN	NNP	_	3	nsubj:pass	_	_
2	get	_	AUX	VBP	_	3	aux:pass	_	_
3	frightened	_	VERB	VBN	_	0	root	_	_
4	.	_	PUNCT	.	_	3	punct	_	_",
it's triangle .,determiner,"1	it's	_	_	_	_	2	nsubj	_	_
2	triangle	_	_	_	_	0	root	_	_
3	.	_	_	_	_	2	punct	_	_","1	it	_	PRON	PRP	_	3	nsubj	_	_
2	's	_	AUX	VBZ	_	3	cop	_	_
3	triangle	_	NOUN	NN	_	0	root	_	_
4	.	_	PUNCT	.	_	3	punct	_	_",
lot lot lots of men in your side .,"verb, preposition","1	lot	_	_	_	_	0	root	_	_
2	lot	_	_	_	_	3	conj	_	_
3	lots	_	_	_	_	1	conj	_	_
4	of	_	_	_	_	5	case	_	_
5	men	_	_	_	_	3	nmod	_	_
6	in	_	_	_	_	8	case	_	_
7	your	_	_	_	_	8	nmod:poss	_	_
8	side	_	_	_	_	5	nmod	_	_
9	.	_	_	_	_	3	punct	_	_","1	lot	_	NOUN	NN	_	2	compound	_	_
2	lot	_	NOUN	NN	_	3	nmod:unmarked	_	_
3	lots	_	NOUN	NNS	_	0	root	_	_
4	of	_	ADP	IN	_	5	case	_	_
5	men	_	NOUN	NNS	_	3	nmod	_	_
6	in	_	ADP	IN	_	8	case	_	_
7	your	_	PRON	PRP$	_	8	nmod:poss	_	_
8	side	_	NOUN	NN	_	3	nmod	_	_
9	.	_	PUNCT	.	_	3	punct	_	_",
round a square .,verb,"1	round	_	_	_	_	3	advmod	_	_
2	a	_	_	_	_	3	det	_	_
3	square	_	_	_	_	0	root	_	_
4	.	_	_	_	_	1	punct	_	_","1	round	_	ADP	IN	_	3	case	_	_
2	a	_	DET	DT	_	3	det	_	_
3	square	_	NOUN	NN	_	0	root	_	_
4	.	_	PUNCT	.	_	3	punct	_	_",
I getting see something .,"tense_aspect, present_progressive","1	I	_	_	_	_	2	nsubj	_	_
2	getting	_	_	_	_	0	root	_	_
3	see	_	_	_	_	2	xcomp	_	_
4	something	_	_	_	_	3	obj	_	_
5	.	_	_	_	_	2	punct	_	_","1	I	_	PRON	PRP	_	3	nsubj	_	_
2	getting	_	AUX	VBG	_	3	aux	_	_
3	see	_	VERB	VB	_	0	root	_	_
4	something	_	PRON	NN	_	3	obj	_	_
5	.	_	PUNCT	.	_	3	punct	_	_",
this box cornflakes in .,verb,"1	this	_	_	_	_	2	det	_	_
2	box	_	_	_	_	0	root	_	_
3	cornflakes	_	_	_	_	2	parataxis	_	_
4	in	_	_	_	_	2	advmod	_	_
5	.	_	_	_	_	2	punct	_	_","1	this	_	DET	DT	_	3	det	_	_
2	box	_	NOUN	NN	_	3	compound	_	_
3	cornflakes	_	NOUN	NNS	_	0	root	_	_
4	in	_	ADP	RP	_	3	advmod	_	_
5	.	_	PUNCT	.	_	4	punct	_	_",
putting cornflakes in .,"subject, present_progressive","1	putting	_	_	_	_	0	root	_	_
2	cornflakes	_	_	_	_	1	obj	_	_
3	in	_	_	_	_	1	advmod	_	_
4	.	_	_	_	_	1	punct	_	_","1	putting	_	VERB	VBG	_	0	root	_	_
2	cornflakes	_	NOUN	NNS	_	1	obj	_	_
3	in	_	ADP	IN	_	1	compound:prt	_	_
4	.	_	PUNCT	.	_	1	punct	_	_",
lots lots in here .,"subject, verb","1	lots	_	_	_	_	0	root	_	_
2	lots	_	_	_	_	1	conj	_	_
3	in	_	_	_	_	4	case	_	_
4	here	_	_	_	_	1	nmod	_	_
5	.	_	_	_	_	1	punct	_	_","1	lots	_	NOUN	NNS	_	2	compound	_	_
2	lots	_	NOUN	NNS	_	0	root	_	_
3	in	_	ADP	IN	_	4	case	_	_
4	here	_	ADV	RB	_	2	nmod	_	_
5	.	_	PUNCT	.	_	2	punct	_	_",
and I not need the track on it .,auxiliary,"1	and	_	_	_	_	4	cc	_	_
2	I	_	_	_	_	4	nsubj	_	_
3	not	_	_	_	_	4	advmod	_	_
4	need	_	_	_	_	0	root	_	_
5	the	_	_	_	_	6	det	_	_
6	track	_	_	_	_	4	obj	_	_
7	on	_	_	_	_	8	case	_	_
8	it	_	_	_	_	6	nmod	_	_
9	.	_	_	_	_	4	punct	_	_","1	and	_	CCONJ	CC	_	4	cc	_	_
2	I	_	PRON	PRP	_	4	nsubj	_	_
3	not	_	PART	RB	_	4	advmod	_	_
4	need	_	VERB	VBP	_	0	root	_	_
5	the	_	DET	DT	_	6	det	_	_
6	track	_	NOUN	NN	_	4	obj	_	_
7	on	_	ADP	IN	_	8	case	_	_
8	it	_	PRON	PRP	_	4	obl	_	_
9	.	_	PUNCT	.	_	4	punct	_	_",
oh it's not work .,present_progressive,"1	oh	_	_	_	_	4	discourse	_	_
2	it's	_	_	_	_	4	cop	_	_
3	not	_	_	_	_	4	advmod	_	_
4	work	_	_	_	_	0	root	_	_
5	.	_	_	_	_	4	punct	_	_","1	oh	_	INTJ	UH	_	5	discourse	_	_
2	it	_	PRON	PRP	_	5	nsubj	_	_
3	's	_	AUX	VBZ	_	5	cop	_	_
4	not	_	PART	RB	_	5	advmod	_	_
5	work	_	NOUN	NN	_	0	root	_	_
6	.	_	PUNCT	.	_	5	punct	_	_",
