Sentence,Roberta_CDS_biaffine,Roberta_eng_biaffine,Stanza_off_the_shelf
here you are .,"here	_	_	_	_	_	0	root	_	_
you	_	_	_	_	_	1	nsubj	_	_
are	_	_	_	_	_	1	cop	_	_
.	_	_	_	_	_	1	punct	_	_","here	_	_	_	_	_	0	root	_	_
you	_	_	_	_	_	1	nsubj	_	_
are	_	_	_	_	_	1	cop	_	_
.	_	_	_	_	_	1	punct	_	_","here	_	ADV	RB	_	_	0	root	_	_
you	_	PRON	PRP	_	_	3	nsubj	_	_
are	_	AUX	VBP	_	_	1	cop	_	_
.	_	PUNCT	.	_	_	1	punct	_	_"
want I wanna eat two now .,"want	_	_	_	_	_	3	reparandum	_	_
I	_	_	_	_	_	3	nsubj	_	_
wanna	_	_	_	_	_	0	root	_	_
eat	_	_	_	_	_	3	xcomp	_	_
two	_	_	_	_	_	4	obj	_	_
now	_	_	_	_	_	4	advmod	_	_
.	_	_	_	_	_	3	punct	_	_","want	_	_	_	_	_	3	reparandum	_	_
I	_	_	_	_	_	3	nsubj	_	_
wanna	_	_	_	_	_	0	root	_	_
eat	_	_	_	_	_	3	xcomp	_	_
two	_	_	_	_	_	4	obj	_	_
now	_	_	_	_	_	4	advmod	_	_
.	_	_	_	_	_	3	punct	_	_","want	_	VERB	VBP	_	_	0	root	_	_
I	_	PRON	PRP	_	_	3	nsubj	_	_
wan	_	VERB	VBP	_	_	1	ccomp	_	_
na	_	PART	TO	_	_	5	mark	_	_
eat	_	VERB	VB	_	_	3	xcomp	_	_
two	_	NUM	CD	_	_	5	obj	_	_
now	_	ADV	RB	_	_	5	advmod	_	_
.	_	PUNCT	.	_	_	1	punct	_	_"
no no .,"no	_	_	_	_	_	0	root	_	_
no	_	_	_	_	_	1	conj	_	_
.	_	_	_	_	_	1	punct	_	_","no	_	_	_	_	_	2	discourse	_	_
no	_	_	_	_	_	0	root	_	_
.	_	_	_	_	_	2	punct	_	_","no	_	INTJ	UH	_	_	0	root	_	_
no	_	INTJ	UH	_	_	1	discourse	_	_
.	_	PUNCT	.	_	_	1	punct	_	_"
the tape's on board .,"the	_	_	_	_	_	2	det	_	_
tape's	_	_	_	_	_	4	nsubj	_	_
on	_	_	_	_	_	4	case	_	_
board	_	_	_	_	_	0	root	_	_
.	_	_	_	_	_	4	punct	_	_","the	_	_	_	_	_	2	det	_	_
tape's	_	_	_	_	_	4	nsubj	_	_
on	_	_	_	_	_	4	case	_	_
board	_	_	_	_	_	0	root	_	_
.	_	_	_	_	_	4	punct	_	_","the	_	DET	DT	_	_	2	det	_	_
tape	_	NOUN	NN	_	_	5	nsubj	_	_
's	_	AUX	VBZ	_	_	5	cop	_	_
on	_	ADP	IN	_	_	5	case	_	_
board	_	NOUN	NN	_	_	0	root	_	_
.	_	PUNCT	.	_	_	5	punct	_	_"
the tape's on board .,"the	_	_	_	_	_	2	det	_	_
tape's	_	_	_	_	_	4	nsubj	_	_
on	_	_	_	_	_	4	case	_	_
board	_	_	_	_	_	0	root	_	_
.	_	_	_	_	_	4	punct	_	_","the	_	_	_	_	_	2	det	_	_
tape's	_	_	_	_	_	4	nsubj	_	_
on	_	_	_	_	_	4	case	_	_
board	_	_	_	_	_	0	root	_	_
.	_	_	_	_	_	4	punct	_	_","the	_	DET	DT	_	_	2	det	_	_
tape	_	NOUN	NN	_	_	5	nsubj	_	_
's	_	AUX	VBZ	_	_	5	cop	_	_
on	_	ADP	IN	_	_	5	case	_	_
board	_	NOUN	NN	_	_	0	root	_	_
.	_	PUNCT	.	_	_	5	punct	_	_"
how come they got cars on them ?,"how	_	_	_	_	_	4	advmod	_	_
come	_	_	_	_	_	1	fixed	_	_
they	_	_	_	_	_	4	nsubj	_	_
got	_	_	_	_	_	0	root	_	_
cars	_	_	_	_	_	4	obj	_	_
on	_	_	_	_	_	7	case	_	_
them	_	_	_	_	_	4	obl	_	_
?	_	_	_	_	_	4	punct	_	_","how	_	_	_	_	_	2	advmod	_	_
come	_	_	_	_	_	0	root	_	_
they	_	_	_	_	_	4	nsubj	_	_
got	_	_	_	_	_	2	csubj	_	_
cars	_	_	_	_	_	4	obj	_	_
on	_	_	_	_	_	7	case	_	_
them	_	_	_	_	_	4	obl	_	_
?	_	_	_	_	_	2	punct	_	_","how	_	ADV	WRB	_	_	2	advmod	_	_
come	_	VERB	VBP	_	_	4	advcl	_	_
they	_	PRON	PRP	_	_	4	nsubj	_	_
got	_	VERB	VBD	_	_	0	root	_	_
cars	_	NOUN	NNS	_	_	4	obj	_	_
on	_	ADP	IN	_	_	7	case	_	_
them	_	PRON	PRP	_	_	4	obl	_	_
?	_	PUNCT	.	_	_	4	punct	_	_"
yeah where is that thing ?,"yeah	_	_	_	_	_	2	discourse	_	_
where	_	_	_	_	_	0	root	_	_
is	_	_	_	_	_	2	cop	_	_
that	_	_	_	_	_	5	det	_	_
thing	_	_	_	_	_	2	nsubj	_	_
?	_	_	_	_	_	2	punct	_	_","yeah	_	_	_	_	_	2	discourse	_	_
where	_	_	_	_	_	0	root	_	_
is	_	_	_	_	_	2	cop	_	_
that	_	_	_	_	_	5	det	_	_
thing	_	_	_	_	_	2	nsubj	_	_
?	_	_	_	_	_	2	punct	_	_","yeah	_	INTJ	UH	_	_	2	discourse	_	_
where	_	ADV	WRB	_	_	0	root	_	_
is	_	AUX	VBZ	_	_	2	cop	_	_
that	_	DET	DT	_	_	5	nsubj	_	_
thing	_	NOUN	NN	_	_	2	nsubj	_	_
?	_	PUNCT	.	_	_	2	punct	_	_"
me that's my thing .,"me	_	_	_	_	_	0	root	_	_
that's	_	_	_	_	_	4	cop	_	_
my	_	_	_	_	_	4	nmod:poss	_	_
thing	_	_	_	_	_	1	parataxis	_	_
.	_	_	_	_	_	1	punct	_	_","me	_	_	_	_	_	4	obl:unmarked	_	_
that's	_	_	_	_	_	4	cop	_	_
my	_	_	_	_	_	4	nmod:poss	_	_
thing	_	_	_	_	_	0	root	_	_
.	_	_	_	_	_	4	punct	_	_","me	_	PRON	PRP	_	_	5	vocative	_	_
that	_	PRON	DT	_	_	5	nsubj	_	_
's	_	AUX	VBZ	_	_	5	cop	_	_
my	_	PRON	PRP$	_	_	5	nmod:poss	_	_
thing	_	NOUN	NN	_	_	0	root	_	_
.	_	PUNCT	.	_	_	5	punct	_	_"
okay how did it get to over there ?,"okay	_	_	_	_	_	5	discourse	_	_
how	_	_	_	_	_	5	advmod	_	_
did	_	_	_	_	_	5	aux	_	_
it	_	_	_	_	_	5	nsubj	_	_
get	_	_	_	_	_	0	root	_	_
to	_	_	_	_	_	7	reparandum	_	_
over	_	_	_	_	_	8	advmod	_	_
there	_	_	_	_	_	5	obl	_	_
?	_	_	_	_	_	5	punct	_	_","okay	_	_	_	_	_	5	discourse	_	_
how	_	_	_	_	_	5	advmod	_	_
did	_	_	_	_	_	5	aux	_	_
it	_	_	_	_	_	5	nsubj	_	_
get	_	_	_	_	_	0	root	_	_
to	_	_	_	_	_	8	case	_	_
over	_	_	_	_	_	8	advmod	_	_
there	_	_	_	_	_	5	obl	_	_
?	_	_	_	_	_	5	punct	_	_","okay	_	INTJ	UH	_	_	5	discourse	_	_
how	_	ADV	WRB	_	_	5	advmod	_	_
did	_	AUX	VBD	_	_	5	aux	_	_
it	_	PRON	PRP	_	_	5	nsubj	_	_
get	_	VERB	VB	_	_	0	root	_	_
to	_	ADP	IN	_	_	5	obl	_	_
over	_	ADP	IN	_	_	8	case	_	_
there	_	ADV	RB	_	_	5	obl	_	_
?	_	PUNCT	.	_	_	5	punct	_	_"
can I leave my blanket down Daddy ?,"can	_	_	_	_	_	3	aux	_	_
I	_	_	_	_	_	3	nsubj	_	_
leave	_	_	_	_	_	0	root	_	_
my	_	_	_	_	_	5	nmod:poss	_	_
blanket	_	_	_	_	_	3	obj	_	_
down	_	_	_	_	_	3	advmod	_	_
Daddy	_	_	_	_	_	3	vocative	_	_
?	_	_	_	_	_	3	punct	_	_","can	_	_	_	_	_	3	aux	_	_
I	_	_	_	_	_	3	nsubj	_	_
leave	_	_	_	_	_	0	root	_	_
my	_	_	_	_	_	5	nmod:poss	_	_
blanket	_	_	_	_	_	3	obj	_	_
down	_	_	_	_	_	3	advmod	_	_
Daddy	_	_	_	_	_	3	vocative	_	_
?	_	_	_	_	_	3	punct	_	_","can	_	AUX	MD	_	_	3	aux	_	_
I	_	PRON	PRP	_	_	3	nsubj	_	_
leave	_	VERB	VB	_	_	0	root	_	_
my	_	PRON	PRP$	_	_	5	nmod:poss	_	_
blanket	_	NOUN	NN	_	_	3	obj	_	_
down	_	ADP	IN	_	_	7	case	_	_
Daddy	_	PROPN	NNP	_	_	3	obl	_	_
?	_	PUNCT	.	_	_	3	punct	_	_"
down on the floor .,"down	_	_	_	_	_	0	root	_	_
on	_	_	_	_	_	4	case	_	_
the	_	_	_	_	_	4	det	_	_
floor	_	_	_	_	_	1	obl	_	_
.	_	_	_	_	_	1	punct	_	_","down	_	_	_	_	_	4	advmod	_	_
on	_	_	_	_	_	4	case	_	_
the	_	_	_	_	_	4	det	_	_
floor	_	_	_	_	_	0	root	_	_
.	_	_	_	_	_	4	punct	_	_","down	_	ADV	RB	_	_	0	root	_	_
on	_	ADP	IN	_	_	4	case	_	_
the	_	DET	DT	_	_	4	det	_	_
floor	_	NOUN	NN	_	_	1	obl	_	_
.	_	PUNCT	.	_	_	1	punct	_	_"
I can't walk in the river Daddy .,"I	_	_	_	_	_	3	nsubj	_	_
can't	_	_	_	_	_	3	aux	_	_
walk	_	_	_	_	_	0	root	_	_
in	_	_	_	_	_	6	case	_	_
the	_	_	_	_	_	6	det	_	_
river	_	_	_	_	_	3	obl	_	_
Daddy	_	_	_	_	_	3	vocative	_	_
.	_	_	_	_	_	3	punct	_	_","I	_	_	_	_	_	3	nsubj	_	_
can't	_	_	_	_	_	3	aux	_	_
walk	_	_	_	_	_	0	root	_	_
in	_	_	_	_	_	6	case	_	_
the	_	_	_	_	_	6	det	_	_
river	_	_	_	_	_	3	obl	_	_
Daddy	_	_	_	_	_	3	vocative	_	_
.	_	_	_	_	_	3	punct	_	_","I	_	PRON	PRP	_	_	4	nsubj	_	_
ca	_	AUX	MD	_	_	4	aux	_	_
n't	_	PART	RB	_	_	4	advmod	_	_
walk	_	VERB	VB	_	_	0	root	_	_
in	_	ADP	IN	_	_	7	case	_	_
the	_	DET	DT	_	_	7	det	_	_
river	_	NOUN	NN	_	_	4	obl	_	_
Daddy	_	PROPN	NNP	_	_	4	vocative	_	_
.	_	PUNCT	.	_	_	4	punct	_	_"
if I have honey on my toast I want a big glass of milk okay ?,"if	_	_	_	_	_	3	mark	_	_
I	_	_	_	_	_	3	nsubj	_	_
have	_	_	_	_	_	9	advcl	_	_
honey	_	_	_	_	_	3	obj	_	_
on	_	_	_	_	_	7	case	_	_
my	_	_	_	_	_	7	nmod:poss	_	_
toast	_	_	_	_	_	3	obl	_	_
I	_	_	_	_	_	9	nsubj	_	_
want	_	_	_	_	_	0	root	_	_
a	_	_	_	_	_	12	det	_	_
big	_	_	_	_	_	12	amod	_	_
glass	_	_	_	_	_	9	obj	_	_
of	_	_	_	_	_	14	case	_	_
milk	_	_	_	_	_	12	nmod	_	_
okay	_	_	_	_	_	9	discourse	_	_
?	_	_	_	_	_	9	punct	_	_","if	_	_	_	_	_	3	mark	_	_
I	_	_	_	_	_	3	nsubj	_	_
have	_	_	_	_	_	9	advcl	_	_
honey	_	_	_	_	_	3	obj	_	_
on	_	_	_	_	_	7	case	_	_
my	_	_	_	_	_	7	nmod:poss	_	_
toast	_	_	_	_	_	3	obl	_	_
I	_	_	_	_	_	9	nsubj	_	_
want	_	_	_	_	_	0	root	_	_
a	_	_	_	_	_	12	det	_	_
big	_	_	_	_	_	12	amod	_	_
glass	_	_	_	_	_	9	obj	_	_
of	_	_	_	_	_	14	case	_	_
milk	_	_	_	_	_	12	nmod	_	_
okay	_	_	_	_	_	9	discourse	_	_
?	_	_	_	_	_	9	punct	_	_","if	_	SCONJ	IN	_	_	3	mark	_	_
I	_	PRON	PRP	_	_	3	nsubj	_	_
have	_	VERB	VBP	_	_	9	advcl	_	_
honey	_	NOUN	NN	_	_	3	obj	_	_
on	_	ADP	IN	_	_	7	case	_	_
my	_	PRON	PRP$	_	_	7	nmod:poss	_	_
toast	_	NOUN	NN	_	_	3	obl	_	_
I	_	PRON	PRP	_	_	9	nsubj	_	_
want	_	VERB	VBP	_	_	0	root	_	_
a	_	DET	DT	_	_	12	det	_	_
big	_	ADJ	JJ	_	_	12	amod	_	_
glass	_	NOUN	NN	_	_	9	obj	_	_
of	_	ADP	IN	_	_	14	case	_	_
milk	_	NOUN	NN	_	_	12	nmod	_	_
okay	_	ADJ	JJ	_	_	9	xcomp	_	_
?	_	PUNCT	.	_	_	9	punct	_	_"
I wanna put the honey on .,"I	_	_	_	_	_	2	nsubj	_	_
wanna	_	_	_	_	_	0	root	_	_
put	_	_	_	_	_	2	xcomp	_	_
the	_	_	_	_	_	5	det	_	_
honey	_	_	_	_	_	3	obj	_	_
on	_	_	_	_	_	3	compound:prt	_	_
.	_	_	_	_	_	2	punct	_	_","I	_	_	_	_	_	2	nsubj	_	_
wanna	_	_	_	_	_	0	root	_	_
put	_	_	_	_	_	2	xcomp	_	_
the	_	_	_	_	_	5	det	_	_
honey	_	_	_	_	_	3	obj	_	_
on	_	_	_	_	_	3	compound:prt	_	_
.	_	_	_	_	_	2	punct	_	_","I	_	PRON	PRP	_	_	2	nsubj	_	_
wan	_	VERB	VBP	_	_	0	root	_	_
na	_	PART	TO	_	_	4	mark	_	_
put	_	VERB	VB	_	_	2	xcomp	_	_
the	_	DET	DT	_	_	6	det	_	_
honey	_	NOUN	NN	_	_	4	obj	_	_
on	_	ADP	RP	_	_	4	compound:prt	_	_
.	_	PUNCT	.	_	_	2	punct	_	_"
how come you'll put it on ?,"how	_	_	_	_	_	4	advmod	_	_
come	_	_	_	_	_	1	fixed	_	_
you'll	_	_	_	_	_	4	nsubj	_	_
put	_	_	_	_	_	0	root	_	_
it	_	_	_	_	_	4	obj	_	_
on	_	_	_	_	_	4	compound:prt	_	_
?	_	_	_	_	_	4	punct	_	_","how	_	_	_	_	_	2	advmod	_	_
come	_	_	_	_	_	4	advmod	_	_
you'll	_	_	_	_	_	4	nsubj	_	_
put	_	_	_	_	_	0	root	_	_
it	_	_	_	_	_	4	obj	_	_
on	_	_	_	_	_	4	compound:prt	_	_
?	_	_	_	_	_	4	punct	_	_","how	_	ADV	WRB	_	_	2	advmod	_	_
come	_	VERB	VBP	_	_	5	advcl	_	_
you	_	PRON	PRP	_	_	5	nsubj	_	_
'll	_	AUX	MD	_	_	5	aux	_	_
put	_	VERB	VB	_	_	0	root	_	_
it	_	PRON	PRP	_	_	5	obj	_	_
on	_	ADP	RP	_	_	5	compound:prt	_	_
?	_	PUNCT	.	_	_	5	punct	_	_"
okay except are you going to get me new milk ?,"okay	_	_	_	_	_	5	discourse	_	_
except	_	_	_	_	_	5	cc	_	_
are	_	_	_	_	_	5	aux	_	_
you	_	_	_	_	_	5	nsubj	_	_
going	_	_	_	_	_	0	root	_	_
to	_	_	_	_	_	7	mark	_	_
get	_	_	_	_	_	5	xcomp	_	_
me	_	_	_	_	_	7	iobj	_	_
new	_	_	_	_	_	10	amod	_	_
milk	_	_	_	_	_	7	obj	_	_
?	_	_	_	_	_	5	punct	_	_","okay	_	_	_	_	_	5	discourse	_	_
except	_	_	_	_	_	5	discourse	_	_
are	_	_	_	_	_	5	aux	_	_
you	_	_	_	_	_	5	nsubj	_	_
going	_	_	_	_	_	0	root	_	_
to	_	_	_	_	_	7	mark	_	_
get	_	_	_	_	_	5	xcomp	_	_
me	_	_	_	_	_	7	iobj	_	_
new	_	_	_	_	_	10	amod	_	_
milk	_	_	_	_	_	7	obj	_	_
?	_	_	_	_	_	5	punct	_	_","okay	_	INTJ	UH	_	_	5	discourse	_	_
except	_	SCONJ	IN	_	_	5	mark	_	_
are	_	AUX	VBP	_	_	5	aux	_	_
you	_	PRON	PRP	_	_	5	nsubj	_	_
going	_	VERB	VBG	_	_	0	root	_	_
to	_	PART	TO	_	_	7	mark	_	_
get	_	VERB	VB	_	_	5	xcomp	_	_
me	_	PRON	PRP	_	_	7	iobj	_	_
new	_	ADJ	JJ	_	_	10	amod	_	_
milk	_	NOUN	NN	_	_	7	obj	_	_
?	_	PUNCT	.	_	_	5	punct	_	_"
how how do you know it's shaped different ?,"how	_	_	_	_	_	2	reparandum	_	_
how	_	_	_	_	_	5	advmod	_	_
do	_	_	_	_	_	5	aux	_	_
you	_	_	_	_	_	5	nsubj	_	_
know	_	_	_	_	_	0	root	_	_
it's	_	_	_	_	_	7	nsubj	_	_
shaped	_	_	_	_	_	5	ccomp	_	_
different	_	_	_	_	_	7	xcomp	_	_
?	_	_	_	_	_	5	punct	_	_","how	_	_	_	_	_	5	advmod	_	_
how	_	_	_	_	_	5	advmod	_	_
do	_	_	_	_	_	5	aux	_	_
you	_	_	_	_	_	5	nsubj	_	_
know	_	_	_	_	_	0	root	_	_
it's	_	_	_	_	_	7	nsubj:pass	_	_
shaped	_	_	_	_	_	5	ccomp	_	_
different	_	_	_	_	_	7	xcomp	_	_
?	_	_	_	_	_	5	punct	_	_","how	_	ADV	WRB	_	_	2	advmod	_	_
how	_	ADV	WRB	_	_	5	advmod	_	_
do	_	AUX	VBP	_	_	5	aux	_	_
you	_	PRON	PRP	_	_	5	nsubj	_	_
know	_	VERB	VB	_	_	0	root	_	_
it	_	PRON	PRP	_	_	8	nsubj:pass	_	_
's	_	AUX	VBZ	_	_	8	aux:pass	_	_
shaped	_	VERB	VBN	_	_	5	ccomp	_	_
different	_	ADJ	JJ	_	_	8	xcomp	_	_
?	_	PUNCT	.	_	_	5	punct	_	_"
I can't see it .,"I	_	_	_	_	_	3	nsubj	_	_
can't	_	_	_	_	_	3	aux	_	_
see	_	_	_	_	_	0	root	_	_
it	_	_	_	_	_	3	obj	_	_
.	_	_	_	_	_	3	punct	_	_","I	_	_	_	_	_	3	nsubj	_	_
can't	_	_	_	_	_	3	aux	_	_
see	_	_	_	_	_	0	root	_	_
it	_	_	_	_	_	3	obj	_	_
.	_	_	_	_	_	3	punct	_	_","I	_	PRON	PRP	_	_	4	nsubj	_	_
ca	_	AUX	MD	_	_	4	aux	_	_
n't	_	PART	RB	_	_	4	advmod	_	_
see	_	VERB	VB	_	_	0	root	_	_
it	_	PRON	PRP	_	_	4	obj	_	_
.	_	PUNCT	.	_	_	4	punct	_	_"
do you know this is wheat bread because it's made from wheat ?,"do	_	_	_	_	_	3	aux	_	_
you	_	_	_	_	_	3	nsubj	_	_
know	_	_	_	_	_	0	root	_	_
this	_	_	_	_	_	7	nsubj	_	_
is	_	_	_	_	_	7	cop	_	_
wheat	_	_	_	_	_	7	compound	_	_
bread	_	_	_	_	_	3	ccomp	_	_
because	_	_	_	_	_	10	mark	_	_
it's	_	_	_	_	_	10	aux:pass	_	_
made	_	_	_	_	_	7	advcl	_	_
from	_	_	_	_	_	12	case	_	_
wheat	_	_	_	_	_	10	obl	_	_
?	_	_	_	_	_	3	punct	_	_","do	_	_	_	_	_	3	aux	_	_
you	_	_	_	_	_	3	nsubj	_	_
know	_	_	_	_	_	0	root	_	_
this	_	_	_	_	_	7	nsubj	_	_
is	_	_	_	_	_	7	cop	_	_
wheat	_	_	_	_	_	7	compound	_	_
bread	_	_	_	_	_	3	ccomp	_	_
because	_	_	_	_	_	10	mark	_	_
it's	_	_	_	_	_	10	aux:pass	_	_
made	_	_	_	_	_	7	advcl	_	_
from	_	_	_	_	_	12	case	_	_
wheat	_	_	_	_	_	10	obl	_	_
?	_	_	_	_	_	3	punct	_	_","do	_	AUX	VBP	_	_	3	aux	_	_
you	_	PRON	PRP	_	_	3	nsubj	_	_
know	_	VERB	VB	_	_	0	root	_	_
this	_	PRON	DT	_	_	7	nsubj	_	_
is	_	AUX	VBZ	_	_	7	cop	_	_
wheat	_	NOUN	NN	_	_	7	compound	_	_
bread	_	NOUN	NN	_	_	3	ccomp	_	_
because	_	SCONJ	IN	_	_	11	mark	_	_
it	_	PRON	PRP	_	_	11	nsubj:pass	_	_
's	_	AUX	VBZ	_	_	11	aux:pass	_	_
made	_	VERB	VBN	_	_	7	advcl	_	_
from	_	ADP	IN	_	_	13	case	_	_
wheat	_	NOUN	NN	_	_	11	obl	_	_
?	_	PUNCT	.	_	_	3	punct	_	_"
I didn't know that .,"I	_	_	_	_	_	3	nsubj	_	_
didn't	_	_	_	_	_	3	aux	_	_
know	_	_	_	_	_	0	root	_	_
that	_	_	_	_	_	3	obj	_	_
.	_	_	_	_	_	3	punct	_	_","I	_	_	_	_	_	3	nsubj	_	_
didn't	_	_	_	_	_	3	aux	_	_
know	_	_	_	_	_	0	root	_	_
that	_	_	_	_	_	3	obj	_	_
.	_	_	_	_	_	3	punct	_	_","I	_	PRON	PRP	_	_	4	nsubj	_	_
did	_	AUX	VBD	_	_	4	aux	_	_
n't	_	PART	RB	_	_	4	advmod	_	_
know	_	VERB	VB	_	_	0	root	_	_
that	_	PRON	DT	_	_	4	obj	_	_
.	_	PUNCT	.	_	_	4	punct	_	_"
no I thought it wasn't wheat bread .,"no	_	_	_	_	_	3	discourse	_	_
I	_	_	_	_	_	3	nsubj	_	_
thought	_	_	_	_	_	0	root	_	_
it	_	_	_	_	_	7	nsubj	_	_
wasn't	_	_	_	_	_	7	cop	_	_
wheat	_	_	_	_	_	7	compound	_	_
bread	_	_	_	_	_	3	ccomp	_	_
.	_	_	_	_	_	3	punct	_	_","no	_	_	_	_	_	3	discourse	_	_
I	_	_	_	_	_	3	nsubj	_	_
thought	_	_	_	_	_	0	root	_	_
it	_	_	_	_	_	7	nsubj	_	_
wasn't	_	_	_	_	_	7	cop	_	_
wheat	_	_	_	_	_	7	compound	_	_
bread	_	_	_	_	_	3	ccomp	_	_
.	_	_	_	_	_	3	punct	_	_","no	_	INTJ	UH	_	_	3	discourse	_	_
I	_	PRON	PRP	_	_	3	nsubj	_	_
thought	_	VERB	VBD	_	_	0	root	_	_
it	_	PRON	PRP	_	_	8	nsubj	_	_
was	_	AUX	VBD	_	_	8	cop	_	_
n't	_	PART	RB	_	_	8	advmod	_	_
wheat	_	NOUN	NN	_	_	8	compound	_	_
bread	_	NOUN	NN	_	_	3	ccomp	_	_
.	_	PUNCT	.	_	_	3	punct	_	_"
because it's made from wheat .,"because	_	_	_	_	_	3	mark	_	_
it's	_	_	_	_	_	3	aux:pass	_	_
made	_	_	_	_	_	0	root	_	_
from	_	_	_	_	_	5	case	_	_
wheat	_	_	_	_	_	3	obl	_	_
.	_	_	_	_	_	3	punct	_	_","because	_	_	_	_	_	3	mark	_	_
it's	_	_	_	_	_	3	aux:pass	_	_
made	_	_	_	_	_	0	root	_	_
from	_	_	_	_	_	5	case	_	_
wheat	_	_	_	_	_	3	obl	_	_
.	_	_	_	_	_	3	punct	_	_","because	_	SCONJ	IN	_	_	4	mark	_	_
it	_	PRON	PRP	_	_	4	nsubj:pass	_	_
's	_	AUX	VBZ	_	_	4	aux:pass	_	_
made	_	VERB	VBN	_	_	0	root	_	_
from	_	ADP	IN	_	_	6	case	_	_
wheat	_	NOUN	NN	_	_	4	obl	_	_
.	_	PUNCT	.	_	_	4	punct	_	_"
no I don't like wheat bread .,"no	_	_	_	_	_	4	discourse	_	_
I	_	_	_	_	_	4	nsubj	_	_
don't	_	_	_	_	_	4	aux	_	_
like	_	_	_	_	_	0	root	_	_
wheat	_	_	_	_	_	6	compound	_	_
bread	_	_	_	_	_	4	obj	_	_
.	_	_	_	_	_	4	punct	_	_","no	_	_	_	_	_	4	discourse	_	_
I	_	_	_	_	_	4	nsubj	_	_
don't	_	_	_	_	_	4	advmod	_	_
like	_	_	_	_	_	0	root	_	_
wheat	_	_	_	_	_	6	compound	_	_
bread	_	_	_	_	_	4	obj	_	_
.	_	_	_	_	_	4	punct	_	_","no	_	INTJ	UH	_	_	5	discourse	_	_
I	_	PRON	PRP	_	_	5	nsubj	_	_
do	_	AUX	VBP	_	_	5	aux	_	_
n't	_	PART	RB	_	_	5	advmod	_	_
like	_	VERB	VB	_	_	0	root	_	_
wheat	_	NOUN	NN	_	_	7	compound	_	_
bread	_	NOUN	NN	_	_	5	obj	_	_
.	_	PUNCT	.	_	_	5	punct	_	_"
that's black .,"that's	_	_	_	_	_	2	nsubj	_	_
black	_	_	_	_	_	0	root	_	_
.	_	_	_	_	_	2	punct	_	_","that's	_	_	_	_	_	2	nsubj	_	_
black	_	_	_	_	_	0	root	_	_
.	_	_	_	_	_	2	punct	_	_","that	_	PRON	DT	_	_	3	nsubj	_	_
's	_	AUX	VBZ	_	_	3	cop	_	_
black	_	ADJ	JJ	_	_	0	root	_	_
.	_	PUNCT	.	_	_	3	punct	_	_"
which part did Momma like ?,"which	_	_	_	_	_	2	det	_	_
part	_	_	_	_	_	5	obj	_	_
did	_	_	_	_	_	5	aux	_	_
Momma	_	_	_	_	_	5	nsubj	_	_
like	_	_	_	_	_	0	root	_	_
?	_	_	_	_	_	5	punct	_	_","which	_	_	_	_	_	2	det	_	_
part	_	_	_	_	_	5	obj	_	_
did	_	_	_	_	_	5	aux	_	_
Momma	_	_	_	_	_	5	nsubj	_	_
like	_	_	_	_	_	0	root	_	_
?	_	_	_	_	_	5	punct	_	_","which	_	DET	WDT	_	_	2	det	_	_
part	_	NOUN	NN	_	_	3	nsubj	_	_
did	_	AUX	VBD	_	_	0	root	_	_
Momma	_	PROPN	NNP	_	_	3	nsubj	_	_
like	_	INTJ	UH	_	_	2	discourse	_	_
?	_	PUNCT	.	_	_	3	punct	_	_"
how come you didn't like them all ?,"how	_	_	_	_	_	5	advmod	_	_
come	_	_	_	_	_	1	fixed	_	_
you	_	_	_	_	_	5	nsubj	_	_
didn't	_	_	_	_	_	5	aux	_	_
like	_	_	_	_	_	0	root	_	_
them	_	_	_	_	_	5	obj	_	_
all	_	_	_	_	_	6	det	_	_
?	_	_	_	_	_	5	punct	_	_","how	_	_	_	_	_	2	advmod	_	_
come	_	_	_	_	_	0	root	_	_
you	_	_	_	_	_	5	nsubj	_	_
didn't	_	_	_	_	_	5	advmod	_	_
like	_	_	_	_	_	2	csubj	_	_
them	_	_	_	_	_	5	obj	_	_
all	_	_	_	_	_	6	nmod:unmarked	_	_
?	_	_	_	_	_	2	punct	_	_","how	_	ADV	WRB	_	_	2	advmod	_	_
come	_	VERB	VBP	_	_	6	advcl	_	_
you	_	PRON	PRP	_	_	6	nsubj	_	_
did	_	AUX	VBD	_	_	6	aux	_	_
n't	_	PART	RB	_	_	6	advmod	_	_
like	_	VERB	VB	_	_	0	root	_	_
them	_	PRON	PRP	_	_	6	obj	_	_
all	_	DET	DT	_	_	6	obj	_	_
?	_	PUNCT	.	_	_	2	punct	_	_"
I didn't spill it .,"I	_	_	_	_	_	3	nsubj	_	_
didn't	_	_	_	_	_	3	aux	_	_
spill	_	_	_	_	_	0	root	_	_
it	_	_	_	_	_	3	obj	_	_
.	_	_	_	_	_	3	punct	_	_","I	_	_	_	_	_	3	nsubj	_	_
didn't	_	_	_	_	_	3	advmod	_	_
spill	_	_	_	_	_	0	root	_	_
it	_	_	_	_	_	3	obj	_	_
.	_	_	_	_	_	3	punct	_	_","I	_	PRON	PRP	_	_	4	nsubj	_	_
did	_	AUX	VBD	_	_	4	aux	_	_
n't	_	PART	RB	_	_	4	advmod	_	_
spill	_	VERB	VB	_	_	0	root	_	_
it	_	PRON	PRP	_	_	4	obj	_	_
.	_	PUNCT	.	_	_	4	punct	_	_"
